766,767,768
305,198,769
766,770,771
274,308,772
5,122,773
229,121,774
775,776,777
278,224,778
779,780,781
766,782,783
67,198,784
766,785,786
779,787,788
50,789,790
791,792,793
787,794,795
791,796,797
305,744,798
8,730,799
50,332,800
522,801,None
78,522,802
78,803,804
791,805,806
50,212,807
5,48,808
274,5,809
775,810,811
812,813,None
814,812,815
816,817,818
48,2,819
50,198,820
17,269,821
78,822,823
824,825,None
792,824,826
33,6,827
828,305,829
775,812,830
5,121,831
50,23,832
274,224,833
68,834,835
522,274,836
33,5,837
274,138,838
305,60,839
791,840,841
842,843,None
146,842,844
229,138,845
124,48,846
847,848,849
850,706,None
78,850,851
124,852,853
847,854,None
854,848,855
856,857,None
857,858,859
847,860,861
50,68,862
863,864,None
847,863,865
847,866,867
868,869,870
854,871,872
866,873,874
50,251,875
789,876,877
878,879,None
879,344,880
70,48,881
854,882,883
50,138,884
854,860,885
251,5,886
887,848,888
760,5,889
882,890,891
854,863,892
724,893,None
893,6,894
847,882,895
522,896,897
898,866,899
229,212,900
724,901,None
901,5,902
903,904,None
854,903,905
906,907,908
906,909,910
906,911,912
906,913,914
27,68,915
27,308,916
28,68,917
27,167,918
28,919,920
921,922,None
923,921,924
28,308,925
27,210,926
927,907,928
929,930,None
27,929,931
932,911,933
934,246,None
27,934,935
936,937,938
939,940,None
27,939,941
305,146,942
28,200,None
200,939,943
944,945,None
28,944,946
27,138,947
27,258,948
27,949,950
951,952,None
27,951,953
64,23,954
28,52,955
64,251,956
27,121,957
64,121,958
672,61,959
64,198,960
27,919,961
70,962,963
64,671,964
671,258,965
64,85,966
27,67,967
64,60,968
672,85,969
68,970,971
346,258,972
317,61,973
210,68,974
64,308,975
27,224,976
64,896,977
121,184,978
28,101,None
671,68,979
64,980,981
258,982,983
11,13,984
60,81,985
198,986,987
64,988,989
28,37,None
70,121,990
672,198,991
64,274,992
993,146,994
5,9,995
50,896,996
997,970,998
67,13,999
1000,1001,None
1000,1002,None
1003,1004,None
1002,1003,1005
17,42,1006
828,60,1007
936,297,1008
1000,1003,None
1009,1010,None
1003,1009,1011
64,138,1012
557,436,1013
1014,1015,None
557,1014,1016
557,1017,1018
103,1019,None
1020,93,None
1019,1020,1021
37,23,1022
64,1023,1024
789,896,1025
222,288,1026
1019,88,1027
1019,89,1028
733,202,1029
1030,1031,None
1031,88,1032
64,78,1033
23,308,1034
1035,1019,None
1031,1036,None
1037,1031,1038
85,171,1039
1040,1041,None
1042,1043,None
557,1042,1044
1045,1046,None
1046,88,1047
64,758,1048
60,240,1049
1050,1031,1051
1052,1053,None
1054,91,None
1053,1054,1055
1056,60,1057
1037,88,1058
1031,112,1059
64,80,1060
1061,1020,None
1062,107,None
1020,1062,1063
1040,1064,None
1065,1066,None
1064,1065,1067
1068,1069,None
1031,1068,1070
85,232,1071
1072,1073,None
1073,1020,1074
1075,1076,None
1076,672,1077
671,198,1078
557,1079,1080
124,346,1081
222,60,1082
436,1083,1084
305,317,1085
1086,75,None
23,288,1087
1040,1065,1088
1040,1089,1090
1040,1091,1092
1093,1042,None
1065,1094,1095
198,344,1096
1064,1041,1097
27,101,1098
1099,1100,None
1101,615,None
1100,1101,1102
557,1103,1104
1105,23,1106
1089,1107,1108
212,6,1109
1041,1041,None
1041,1110,1111
152,128,1112
1103,1113,1114
1064,1115,1116
436,374,1117
37,919,1118
152,76,1119
1064,1120,1121
1040,1122,None
1122,1041,1123
1124,1125,None
1041,1124,1126
1041,1107,1127
663,240,1128
1129,1130,None
1065,1129,1131
152,109,1132
1064,1091,1133
1041,1091,1134
1089,1124,1135
1122,1110,None
152,1136,1137
23,222,1138
1040,1094,None
1139,1115,None
1094,1139,1140
64,50,1141
1142,75,None
75,1143,1144
75,117,1145
158,352,None
75,116,None
152,75,1146
152,114,1147
132,116,None
1148,1149,None
1065,1148,1150
1151,1152,None
75,1151,1153
1154,128,None
128,860,1155
157,1156,1157
75,1158,1159
1160,1161,1162
157,140,1163
1164,23,1165
1166,1167,None
157,1166,1168
1160,1169,1170
1160,1171,1172
157,1173,1174
1175,157,None
157,352,1176
1177,1169,1178
75,153,1179
1160,1180,1181
1160,1177,1182
1160,1183,1184
1185,1186,None
75,1185,1187
1169,1161,1188
352,140,1189
1161,1180,1190
1191,1192,None
1192,1193,1194
1169,1180,1195
1196,1197,None
157,1196,1198
157,1199,1200
1201,1202,1203
613,852,None
140,613,1204
157,1205,1206
157,613,1207
140,1156,1208
1209,1196,None
1196,1210,1211
161,1212,None
1213,100,None
1212,1213,1214
157,338,1215
1216,1217,1218
1219,1166,None
1166,352,1220
1221,1212,None
1212,85,1222
1223,100,None
1212,1223,1224
476,1223,1225
352,1226,1227
1228,1229,1230
1212,476,1231
1216,382,1232
1212,1216,1233
1228,444,1234
338,140,1235
1236,1237,None
1212,1236,1238
1228,1239,1240
1216,1241,1242
1243,1212,None
1212,13,1244
1212,382,1245
1228,1246,1247
1248,1249,None
1250,1251,None
1249,1250,1252
1253,685,None
1254,1253,1255
444,1229,1256
1257,710,None
